,name,city,state,search_string,url,geocode,lat,lon
65,970 Sports Rewind,Montrose,COLORADO,"970 Sports Rewind, Montrose, COLORADO",https://www.970sportsrewind.com/,"(38.4280863, -107.8614644)",38.4280863,-107.8614644
66,ReSport,Pagosa Springs,COLORADO,"ReSport, Pagosa Springs, COLORADO",https://www.facebook.com/ReSport-106873630204/?sk=page_map,"(37.2556437, -107.0766878)",37.2556437,-107.0766878
67,Colorado Sports Recycler,Salida,COLORADO,"Colorado Sports Recycler, Salida, COLORADO",https://www.coloradosportsrecycler.com/,"(38.5243453, -105.9907136)",38.5243453,-105.9907136
68,The Outdoorsman’s Attic,Sheridan,COLORADO,"The Outdoorsman’s Attic, Sheridan, COLORADO",https://www.facebook.com/theoutdoorsmansattic/,"(39.65305559999999, -105.0188889)",39.65305559999999,-105.0188889
69,Winter Park Trading Co.,Winter Park,COLORADO,"Winter Park Trading Co., Winter Park, COLORADO",https://www.winterparktradingco.com/,"(39.9181451, -105.7847528)",39.9181451,-105.7847528
70,Colorado GearLab,Woodland Park,COLORADO,"Colorado GearLab, Woodland Park, COLORADO",https://coloradogearlab.com/,"(38.9945791, -105.0537872)",38.9945791,-105.0537872
71,Play It Again Sports,Arvada,COLORADO,"Play It Again Sports, Arvada, COLORADO",https://www.playitagainsports.com/locations/arvada-co,"(39.8559077, -105.0777984)",39.8559077,-105.0777984
72,Play It Again Sports,Aurora,COLORADO,"Play It Again Sports, Aurora, COLORADO",https://www.playitagainsports.com/locations/aurora-co,"(39.6539581, -104.7685848)",39.6539581,-104.7685848
73,Play It Again Sports,Boulder,COLORADO,"Play It Again Sports, Boulder, COLORADO",https://www.playitagainsports.com/locations/boulder-co,"(39.983433, -105.249844)",39.983433,-105.249844
74,Play It Again Sports,Castle Rock,COLORADO,"Play It Again Sports, Castle Rock, COLORADO",https://www.playitagainsports.com/locations/boulder-co,"(39.3781852, -104.8596878)",39.3781852,-104.8596878
75,Play It Again Sports,Colorado Springs x2,COLORADO,"Play It Again Sports, Colorado Springs x2, COLORADO",https://www.playitagainsports.com/locations/colorado-springs-north,"(38.9046444, -104.7797972)",38.9046444,-104.7797972
76,Play It Again Sports,Lakewood,COLORADO,"Play It Again Sports, Lakewood, COLORADO",https://www.playitagainsports.com/locations/lakewood-co,"(39.6991628, -105.1455944)",39.6991628,-105.1455944
77,Play It Again Sports,Longmont,COLORADO,"Play It Again Sports, Longmont, COLORADO",https://www.playitagainsports.com/locations/longmont-co,"(40.1479418, -105.131998)",40.1479418,-105.131998
78,Play It Again Sports,Southington,CONNECTICUT,"Play It Again Sports, Southington, CONNECTICUT",https://www.playitagainsports.com/locations/southington-ct,"(41.6359267, -72.8726477)",41.6359267,-72.8726477
79,Play It Again Sports,West Hartford,CONNECTICUT,"Play It Again Sports, West Hartford, CONNECTICUT",https://www.playitagainsports.com/locations/west-hartford-ct,"(41.7608991, -72.74250959999999)",41.7608991,-72.74250959999999
80,Play It Again Sports,Altamonte Springs,FLORIDA,"Play It Again Sports, Altamonte Springs, FLORIDA",https://www.playitagainsports.com/locations/altamonte-springs-fl,"(28.6816, -81.4195453)",28.6816,-81.4195453
81,Play It Again Sports,Bradenton,FLORIDA,"Play It Again Sports, Bradenton, FLORIDA",https://www.playitagainsports.com/locations/bradenton-fl,"(27.3394948, -82.46192289999999)",27.3394948,-82.46192289999999
82,Play It Again Sports,Brandon,FLORIDA,"Play It Again Sports, Brandon, FLORIDA",https://www.playitagainsports.com/locations/brandon-fl,"(27.9247943, -82.2954108)",27.9247943,-82.2954108
83,Play It Again Sports,Ft. Myers,FLORIDA,"Play It Again Sports, Ft. Myers, FLORIDA",https://www.playitagainsports.com/locations/ft-myers-fl,"(26.5707853, -81.8725539)",26.5707853,-81.8725539
84,Play It Again Sports,Gainesville,FLORIDA,"Play It Again Sports, Gainesville, FLORIDA",https://www.playitagainsports.com/locations/gainesville-fl,"(29.6510578, -82.3732775)",29.6510578,-82.3732775
85,Play It Again Sports,Lakeland,FLORIDA,"Play It Again Sports, Lakeland, FLORIDA",https://www.playitagainsports.com/locations/lakeland-fl,"(28.0173944, -81.9573667)",28.0173944,-81.9573667
86,Play It Again Sports,Leesburg,FLORIDA,"Play It Again Sports, Leesburg, FLORIDA",https://www.playitagainsports.com/locations/leesburg-fl,"(28.8238323, -81.7818611)",28.8238323,-81.7818611
